RMID	FirstName	LastName	Address	Latitude	Longitude	City	State	Zip	LandlinePhoneNumber	CellPhone	BirthDate	MaritalStatus	HirePrediction	HomePurchaseYear	HomeYearBuilt	HomeEstCurrentValue	HouseholdNetWorth	RoofMaterial	LastStormDamage	HomeSize
01220	Susan	Anderson	709 Spruce Way	35.0630	-106.5539	Nob Hill	NM	87002	919-950-9625	919-798-2266	1977-06-21	Married	Possible	2014	1993	$446,691	$1,137,101	Metal	2023-07-25	2230
01221	Michael	Taylor	180 Oak Avenue	33.4305	-112.0676	Historic District	AZ	85003	919-803-8511	919-995-8816	1964-12-14	Single	Unlikely	2015	1991	$432,183	$582,129	Composition Shingle	2024-07-15	2658
01222	Michael	Miller	792 Maple Street	33.4754	-112.0914	Government District	AZ	85001	919-837-9327	919-597-7584	1969-04-23	Married	Likely	2009	2001	$470,250	$783,423	Unknown	2024-02-06	2770
01223	Robert	Williams	120 Hickory Street	35.0261	-106.5020	Central Albuquerque	NM	87002	919-371-1055	919-860-4606	1972-03-01	Married	Likely	2010	1999	$431,765	$956,898	Unknown	2024-04-11	1970
01224	David	Miller	150 Oak Way	33.4122	-112.0729	Central Business District	AZ	85001	919-562-2372	919-315-9144	1986-04-02	Divorced	Likely	2018	2017	$383,128	$571,122	Unknown	2023-05-18	2769
01225	David	Anderson	136 Elm Circle	33.4102	-112.0421	Historic District	AZ	85003	919-494-5267	919-107-7213	1974-06-20	Widowed	Likely	2019	1994	$411,143	$1,168,050	Tile	2024-08-05	2513
01226	John	Miller	184 Elm Drive	33.4939	-112.0983	Central Business District	AZ	85001	919-913-4682	919-503-4045	1970-04-14	Widowed	Unlikely	2018	1994	$432,820	$735,688	Unknown	2024-05-13	2524
01227	William	Johnson	350 Spruce Circle	33.4145	-112.0369	Central Phoenix	AZ	85002	919-190-4542	919-725-8716	1972-03-14	Single	Unlikely	2010	1996	$360,316	$1,149,649	Tile	2023-09-07	2321
01228	John	Anderson	926 Walnut Lane	33.4851	-112.0804	Historic District	AZ	85003	919-134-4514	919-844-8760	1978-02-15	Married	Possible	2019	2008	$439,199	$932,534	Tile	2024-03-29	2690
01229	Mary	Wilson	726 Walnut Way	37.1525	-113.4544	Dixie Downs	UT	84791	919-220-5067	919-403-9743	1975-11-01	Single	Less Likely	2012	2002	$481,188	$1,031,731	Unknown	2023-03-03	2173
01230	Elizabeth	Smith	311 Elm Road	33.4719	-112.0904	Government District	AZ	85001	919-100-7734	919-426-4324	1976-05-03	Divorced	Unlikely	2014	1998	$402,485	$1,003,335	Metal	2024-11-02	2787
