rm_id	first_name	last_name	address_line	latitude	longitude	city	state	zip_code	landline_phone_number	cell_phone	birth_date	marital_status	hire_prediction	home_purchase_year	home_year_built	home_est_current_value	household_net_worth	roof_material	last_storm_damage	home_size	data_source	status	sale_representative_id	follow_up_date	inspection_date	installation_date	notes	reason
RM001	John	Doe	123 Main St	35.6895	-78.8867	Raleigh	NC	27601	919-555-1234	919-555-5678	1980-05-15	Married	High	2010	1995	350000	500000-750000	Asphalt Shingle	2022-03-10	2200	CRM	New Lead	SR001	2023-06-15 10:00:00	2023-06-20 14:00:00	2023-07-01 09:00:00	Initial contact made	No reason
RM002	Jane	Smith	456 Oak Ave	35.7795	-78.6382	Cary	NC	27513	919-555-2345	919-555-6789	1975-08-22	Single	Medium	2015	2000	425000	750000-1000000	Metal	2021-09-15	2500	Website	Follow Up	SR002	2023-06-16 11:30:00	2023-06-22 13:00:00	2023-07-05 10:00:00	Interested in solar panels	Referred by neighbor
RM003	Robert	Johnson	789 Pine Rd	35.9940	-78.8986	Durham	NC	27701	919-555-3456	919-555-7890	1990-02-10	Married	Low	2018	2010	500000	250000-500000	Clay Tile	2022-05-20	3000	Referral	Contacted	SR003	2023-06-17 09:15:00	2023-06-25 10:30:00	2023-07-10 11:00:00	Needs roof inspection	Storm damage
RM004	Sarah	Williams	101 Elm St	35.8578	-78.5711	Knightdale	NC	27545	919-555-4567	919-555-8901	1985-11-30	Divorced	High	2005	1985	275000	100000-250000	Slate	2023-01-05	1800	Marketing	New Lead	SR001	2023-06-18 14:00:00	2023-06-27 15:30:00	2023-07-15 13:00:00	Storm damage visible	Insurance claim
RM005	Michael	Brown	202 Maple Dr	35.7721	-78.7386	Morrisville	NC	27560	919-555-5678	919-555-9012	1970-07-18	Married	Medium	2000	1990	400000	500000-750000	Asphalt Shingle	2022-08-12	2700	CRM	Scheduled	SR002	2023-06-19 10:45:00	2023-06-29 11:00:00	2023-07-20 09:30:00	Interested in roof replacement	Aging roof
RM006	Emily	Jones	303 Cedar Ln	35.9132	-78.7851	Wake Forest	NC	27587	919-555-6789	919-555-0123	1988-04-05	Single	High	2012	2005	450000	250000-500000	Metal	2022-10-30	2300	Website	Contacted	SR003	2023-06-20 13:30:00	2023-07-01 14:00:00	2023-07-25 10:00:00	Needs estimate	Leaking roof
RM007	David	Miller	404 Birch Blvd	35.7795	-78.9163	Apex	NC	27502	919-555-7890	919-555-1234	1982-09-12	Married	Low	2017	2015	525000	750000-1000000	Clay Tile	2023-02-18	3200	Referral	Follow Up	SR001	2023-06-21 15:00:00	2023-07-03 09:30:00	2023-07-30 11:30:00	Considering options	Home renovation
RM008	Jennifer	Davis	505 Walnut Way	35.6411	-78.8254	Fuquay-Varina	NC	27526	919-555-8901	919-555-2345	1977-12-25	Divorced	Medium	2008	1998	325000	100000-250000	Slate	2022-07-05	2000	Marketing	New Lead	SR002	2023-06-22 11:15:00	2023-07-05 13:45:00	2023-08-01 14:00:00	Roof is aging	Preventative maintenance
RM009	Christopher	Wilson	606 Spruce St	35.8668	-78.5756	Clayton	NC	27520	919-555-9012	919-555-3456	1992-03-20	Single	High	2020	2018	575000	500000-750000	Asphalt Shingle	2023-04-10	2800	CRM	Scheduled	SR003	2023-06-23 09:00:00	2023-07-07 10:00:00	2023-08-05 09:00:00	Ready for installation	New construction
RM010	Amanda	Taylor	707 Ash Ave	35.7877	-78.6390	Raleigh	NC	27607	919-555-0123	919-555-4567	1983-06-08	Married	Medium	2014	2008	475000	250000-500000	Metal	2022-11-15	2400	Website	Contacted	SR001	2023-06-24 14:30:00	2023-07-10 15:00:00	2023-08-10 13:30:00	Interested in financing options	Energy efficiency
